    No.  A,     A(x),     A(y),     A(z),     No. B,     B(x),     B(y),     B(z),     No. M,     M(x),     M(y),    M(z),     No. N,     N(x),     N(y),    N(z),    current,voltage,App.ch1,App.ch2,App.ch3,App.ch4,App.ch5,App.ch6,App.ch7,App.ch8,App.ch9,App.ch10
1,-0.14,-0.2275,0.01,57,0.14,-0.2275,0.01,25,-0.02,-0.2275,0.01,41,0.06,-0.2275,0.01,20,1.3974,0.57857,0.52597,0.49792,0.47337,0.45584,0.44182,0.43831,0.42078,0.41727,0.41376
1,-0.14,-0.2275,0.01,57,0.14,-0.2275,0.01,25,-0.02,-0.2275,0.01,49,0.1,-0.2275,0.01,20,2.782,0.57976,0.54806,0.52693,0.51284,0.50755,0.49874,0.50051,0.49698,0.49698,0.49698
1,-0.14,-0.2275,0.01,57,0.14,-0.2275,0.01,33,0.02,-0.2275,0.01,41,0.06,-0.2275,0.01,20,0.76267,0.70404,0.60767,0.54342,0.52415,0.49845,0.47275,0.45348,0.42778,0.4085,0.40208
1,-0.14,-0.2275,0.01,57,0.14,-0.2275,0.01,33,0.02,-0.2275,0.01,49,0.1,-0.2275,0.01,20,2.1463,0.61508,0.57855,0.55344,0.53746,0.53289,0.52604,0.52832,0.51691,0.51919,0.51919
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,10,-0.1,-0.1625,0.01,19,-0.06,-0.0975,0.01,200,9.3754,0.26516,0.26516,0.26516,0.20236,0.20236,0.16049,0.18143,0.16049,0.16049,0.13956
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,10,-0.1,-0.1625,0.01,28,-0.02,-0.0325,0.01,200,13.39,0.53192,0.45864,0.40001,0.3707,0.34138,0.31207,0.2681,0.25344,0.23879,0.23879
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,10,-0.1,-0.1625,0.01,37,0.02,0.0325,0.01,200,16.586,0.57191,0.53641,0.46542,0.38259,0.38259,0.31159,0.32343,0.28793,0.26426,0.28793
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,10,-0.1,-0.1625,0.01,46,0.06,0.0975,0.01,200,20.635,0.46445,0.38837,0.34081,0.31228,0.27423,0.27423,0.2457,0.21717,0.21717,0.18863
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,10,-0.1,-0.1625,0.01,55,0.1,0.1625,0.01,200,30.878,0.38427,0.308,0.28893,0.24444,0.22537,0.2063,0.19359,0.16817,0.16817,0.15546
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,19,-0.06,-0.0975,0.01,28,-0.02,-0.0325,0.01,200,4.0263,1.0346,0.8703,0.75712,0.6695,0.60743,0.54902,0.5052,0.46504,0.43097,0.40176
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,19,-0.06,-0.0975,0.01,37,0.02,0.0325,0.01,200,7.2414,0.9467,0.81475,0.71393,0.63814,0.57724,0.52988,0.4886,0.45071,0.41958,0.39184
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,19,-0.06,-0.0975,0.01,46,0.06,0.0975,0.01,200,11.246,0.60207,0.47991,0.46246,0.3752,0.3403,0.3054,0.28795,0.25304,0.21814,0.27049
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,19,-0.06,-0.0975,0.01,55,0.1,0.1625,0.01,200,21.475,0.38575,0.33091,0.3035,0.24866,0.24866,0.22124,0.18469,0.18469,0.15727,0.16641
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,28,-0.02,-0.0325,0.01,37,0.02,0.0325,0.01,200,3.2106,0.85216,0.74533,0.65987,0.59577,0.54235,0.49962,0.45994,0.42637,0.3989,0.37448
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,28,-0.02,-0.0325,0.01,46,0.06,0.0975,0.01,200,7.281,0.34826,0.29173,0.25068,0.22242,0.20021,0.18204,0.16723,0.15579,0.14503,0.13695
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,28,-0.02,-0.0325,0.01,55,0.1,0.1625,0.01,200,17.459,0.24778,0.18033,0.18033,0.16909,0.14661,0.12413,0.11288,0.11288,0.10164,0.090401
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,37,0.02,0.0325,0.01,46,0.06,0.0975,0.01,200,4.0689,-0.067537,-0.080783,-0.081988,-0.078375,-0.078375,-0.073558,-0.069945,-0.067537,-0.061516,-0.057903
1,-0.14,-0.2275,0.01,64,0.14,0.2275,0.01,37,0.02,0.0325,0.01,55,0.1,0.1625,0.01,200,14.269,0.11519,0.10144,0.087684,0.087684,0.060175,0.060175,0.046421,0.073929,0.046421,0.032666
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,10,-0.1,-0.1625,0.01,18,-0.06,-0.1625,0.01,100,5.6512,0.4202,0.39158,0.37164,0.34997,0.33522,0.31788,0.30574,0.29447,0.27973,0.27193
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,10,-0.1,-0.1625,0.01,26,-0.02,-0.1625,0.01,200,16.544,0.26989,0.2343,0.2343,0.2343,0.18685,0.18685,0.18685,0.17498,0.16312,0.16312
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,10,-0.1,-0.1625,0.01,34,0.02,-0.1625,0.01,200,20.35,0.57786,0.49106,0.45249,0.42355,0.40426,0.38497,0.3464,0.33675,0.30782,0.27888
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,10,-0.1,-0.1625,0.01,42,0.06,-0.1625,0.01,200,25.871,0.4931,0.44,0.39448,0.36414,0.34138,0.31862,0.28828,0.29586,0.26552,0.26552
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,10,-0.1,-0.1625,0.01,50,0.1,-0.1625,0.01,200,38.511,0.35122,0.31045,0.27477,0.26458,0.2391,0.22891,0.21362,0.20343,0.19323,0.18814
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,18,-0.06,-0.1625,0.01,26,-0.02,-0.1625,0.01,100,2.7492,0.35423,0.29363,0.25977,0.23304,0.21343,0.19739,0.1867,0.17778,0.16887,0.16531
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,18,-0.06,-0.1625,0.01,34,0.02,-0.1625,0.01,200,9.1925,0.89938,0.77128,0.72858,0.62182,0.57913,0.57913,0.49372,0.47237,0.42967,0.42967
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,18,-0.06,-0.1625,0.01,42,0.06,-0.1625,0.01,100,7.4899,0.78406,0.65518,0.56817,0.50144,0.44976,0.40462,0.36995,0.34116,0.31369,0.29079
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,18,-0.06,-0.1625,0.01,50,0.1,-0.1625,0.01,200,27.285,0.35575,0.31259,0.25505,0.24066,0.22628,0.21189,0.19031,0.18312,0.16873,0.16154
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,26,-0.02,-0.1625,0.01,34,0.02,-0.1625,0.01,100,1.9571,2.1535,1.8305,1.5851,1.3999,1.2496,1.1194,1.0243,0.92416,0.84905,0.77895
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,26,-0.02,-0.1625,0.01,42,0.06,-0.1625,0.01,200,9.2705,0.83359,0.72774,0.66423,0.57954,0.5372,0.45252,0.45252,0.47369,0.38901,0.36784
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,26,-0.02,-0.1625,0.01,50,0.1,-0.1625,0.01,200,21.852,0.35514,0.29227,0.26532,0.24736,0.21144,0.22042,0.18449,0.17551,0.17551,0.15755
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,34,0.02,-0.1625,0.01,42,0.06,-0.1625,0.01,200,5.5337,0.16171,0.1316,0.11212,0.095299,0.078475,0.070506,0.064308,0.057224,0.051911,0.047484
2,-0.14,-0.1625,0.01,58,0.14,-0.1625,0.01,34,0.02,-0.1625,0.01,50,0.1,-0.1625,0.01,200,18.091,0.069611,0.047914,0.047914,0.037065,0.026217,0.026217,0.037065,0.026217,0.026217,0.026217
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,11,-0.1,-0.0975,0.01,19,-0.06,-0.0975,0.01,20,1.1596,0.52553,0.46638,0.41567,0.38609,0.35229,0.33539,0.31004,0.29313,0.26778,0.25511
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,11,-0.1,-0.0975,0.01,27,-0.02,-0.0975,0.01,20,1.6574,0.85969,0.73256,0.64683,0.57587,0.5197,0.46945,0.4251,0.38962,0.36597,0.33937
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,11,-0.1,-0.0975,0.01,35,0.02,-0.0975,0.01,20,1.9936,1.3226,1.1088,0.96379,0.83844,0.79174,0.71309,0.63444,0.58282,0.52629,0.49434
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,11,-0.1,-0.0975,0.01,43,0.06,-0.0975,0.01,20,2.4865,1.1289,0.96336,0.84513,0.75645,0.68551,0.63231,0.58107,0.53969,0.50816,0.47663
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,11,-0.1,-0.0975,0.01,51,0.1,-0.0975,0.01,20,3.5701,0.7866,0.68778,0.61916,0.56701,0.53132,0.5025,0.47505,0.45583,0.43799,0.4229
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,19,-0.06,-0.0975,0.01,27,-0.02,-0.0975,0.01,20,0.49941,1.5715,1.3065,1.1398,1.0024,0.90428,0.81598,0.76692,0.70805,0.64919,0.60013
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,19,-0.06,-0.0975,0.01,35,0.02,-0.0975,0.01,20,0.83225,2.422,2.0275,1.7508,1.6507,1.4388,1.2857,1.1562,1.0502,0.97954,0.89123
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,19,-0.06,-0.0975,0.01,43,0.06,-0.0975,0.01,20,1.3235,1.6164,1.3683,1.2091,1.0721,0.98328,0.89442,0.82408,0.77594,0.75373,0.65377
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,19,-0.06,-0.0975,0.01,51,0.1,-0.0975,0.01,20,2.4012,0.83945,0.73946,0.66804,0.62111,0.58642,0.55785,0.53336,0.51499,0.49867,0.48439
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,27,-0.02,-0.0975,0.01,35,0.02,-0.0975,0.01,20,0.33347,3.9446,3.3128,2.8426,2.4899,2.2255,1.9904,1.7847,1.623,1.5055,1.3879
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,27,-0.02,-0.0975,0.01,43,0.06,-0.0975,0.01,20,0.8239,1.6635,1.4137,1.2353,1.1163,1.0212,0.92603,0.86061,0.79519,0.76545,0.73572
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,27,-0.02,-0.0975,0.01,51,0.1,-0.0975,0.01,20,1.9001,0.66232,0.60043,0.55917,0.52564,0.50501,0.48696,0.47149,0.46633,0.44828,0.45086
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,35,0.02,-0.0975,0.01,43,0.06,-0.0975,0.01,20,0.48971,0.11131,0.16134,0.17135,0.18135,0.21137,0.21137,0.24139,0.24139,0.2614,0.2614
3,-0.14,-0.0975,0.01,59,0.14,-0.0975,0.01,35,0.02,-0.0975,0.01,51,0.1,-0.0975,0.01,20,1.564,-0.056261,0.003263,0.040858,0.084717,0.10665,0.14111,0.16617,0.1881,0.21003,0.2257
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,12,-0.1,-0.0325,0.01,20,-0.06,-0.0325,0.01,50,2.8959,0.4419,0.38268,0.34207,0.30484,0.27439,0.24901,0.2304,0.20332,0.1881,0.17287
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,12,-0.1,-0.0325,0.01,28,-0.02,-0.0325,0.01,100,8.1728,0.4251,0.39092,0.36274,0.34176,0.32258,0.30519,0.2908,0.27641,0.26382,0.25423
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,12,-0.1,-0.0325,0.01,36,0.02,-0.0325,0.01,100,9.8459,0.53737,0.4975,0.4377,0.3779,0.41777,0.3779,0.35797,0.33804,0.29817,0.29817
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,12,-0.1,-0.0325,0.01,44,0.06,-0.0325,0.01,200,23.82,0.40099,0.35155,0.34331,0.29387,0.30211,0.25268,0.27739,0.25268,0.24444,0.22796
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,12,-0.1,-0.0325,0.01,52,0.1,-0.0325,0.01,200,35.122,0.37975,0.32387,0.3127,0.29034,0.26799,0.2624,0.24564,0.23446,0.22888,0.22329
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,20,-0.06,-0.0325,0.01,28,-0.02,-0.0325,0.01,200,4.784,0.47956,0.37509,0.30544,0.25218,0.21428,0.1856,0.15795,0.13951,0.12415,0.11185
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,20,-0.06,-0.0325,0.01,36,0.02,-0.0325,0.01,200,8.2061,0.69274,0.57929,0.50226,0.44196,0.39538,0.35896,0.32851,0.30223,0.28134,0.26103
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,20,-0.06,-0.0325,0.01,44,0.06,-0.0325,0.01,200,12.256,0.52711,0.44704,0.38299,0.35096,0.31894,0.22285,0.22285,0.22285,0.20684,0.19083
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,20,-0.06,-0.0325,0.01,52,0.1,-0.0325,0.01,200,23.491,0.39859,0.34846,0.30669,0.27327,0.24821,0.2315,0.22314,0.19808,0.18972,0.18972
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,28,-0.02,-0.0325,0.01,36,0.02,-0.0325,0.01,200,3.4229,1.0071,0.8783,0.78812,0.71654,0.65785,0.61204,0.56909,0.5376,0.5061,0.47747
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,28,-0.02,-0.0325,0.01,44,0.06,-0.0325,0.01,200,7.5425,0.57388,0.49397,0.4368,0.39328,0.3595,0.33026,0.30557,0.28479,0.26789,0.25035
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,28,-0.02,-0.0325,0.01,52,0.1,-0.0325,0.01,200,18.728,0.38686,0.33447,0.30303,0.27159,0.27159,0.24015,0.21919,0.21919,0.19823,0.20871
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,36,0.02,-0.0325,0.01,44,0.06,-0.0325,0.01,200,4.1159,0.15982,0.12768,0.10506,0.090774,0.076489,0.068155,0.058631,0.052679,0.047917,0.043155
4,-0.14,-0.0325,0.01,60,0.14,-0.0325,0.01,36,0.02,-0.0325,0.01,52,0.1,-0.0325,0.01,200,15.317,0.23117,0.19273,0.17991,0.1671,0.1671,0.15429,0.14148,0.14148,0.14148,0.12866
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,13,-0.1,0.0325,0.01,21,-0.06,0.0325,0.01,20,1.1062,-0.20265,-0.13621,-0.069765,-0.038758,0.001107,0.014396,0.036544,0.058691,0.076409,0.094127
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,13,-0.1,0.0325,0.01,29,-0.02,0.0325,0.01,20,1.5222,0.055258,0.090665,0.11964,0.12929,0.14539,0.16148,0.1647,0.17436,0.17758,0.18401
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,13,-0.1,0.0325,0.01,37,0.02,0.0325,0.01,50,4.712,-0.010225,-0.001906,0.005373,0.010572,0.013692,0.017851,0.020971,0.02305,0.02409,0.02617
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,13,-0.1,0.0325,0.01,45,0.06,0.0325,0.01,100,11.421,0.11098,0.11098,0.076612,0.059428,0.093796,0.076612,0.076612,0.093796,0.059428,0.059428
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,13,-0.1,0.0325,0.01,53,0.1,0.0325,0.01,200,32.465,0.12015,0.089923,0.083878,0.059697,0.059697,0.041561,0.047606,0.029471,0.041561,0.035516
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,21,-0.06,0.0325,0.01,29,-0.02,0.0325,0.01,50,1.0462,0.066351,0.061667,0.061667,0.047617,0.056984,0.0523,0.047617,0.056984,0.0523,0.047617
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,21,-0.06,0.0325,0.01,37,0.02,0.0325,0.01,200,7.6469,0.2467,0.21658,0.19736,0.18198,0.16981,0.16083,0.15315,0.14481,0.13905,0.13328
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,21,-0.06,0.0325,0.01,45,0.06,0.0325,0.01,200,11.56,0.3056,0.27165,0.23769,0.20373,0.18676,0.18676,0.18676,0.1528,0.11885,0.13582
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,21,-0.06,0.0325,0.01,53,0.1,0.0325,0.01,20,2.143,0.51407,0.47749,0.45463,0.43862,0.4249,0.41347,0.40661,0.39518,0.39061,0.38603
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,29,-0.02,0.0325,0.01,37,0.02,0.0325,0.01,200,3.4908,0.44619,0.40127,0.36758,0.34512,0.32126,0.30161,0.28757,0.27635,0.2609,0.24968
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,29,-0.02,0.0325,0.01,45,0.06,0.0325,0.01,200,7.4728,0.44973,0.38547,0.34023,0.30416,0.27531,0.25236,0.23269,0.21499,0.20056,0.18745
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,29,-0.02,0.0325,0.01,53,0.1,0.0325,0.01,200,17.159,0.24306,0.19731,0.16299,0.14012,0.11724,0.1058,0.082926,0.082926,0.071488,0.071488
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,37,0.02,0.0325,0.01,45,0.06,0.0325,0.01,200,3.9871,0.43172,0.35921,0.30145,0.25721,0.22034,0.19453,0.16995,0.15029,0.13309,0.1208
5,-0.14,0.0325,0.01,61,0.14,0.0325,0.01,37,0.02,0.0325,0.01,53,0.1,0.0325,0.01,200,13.692,0.18634,0.12901,0.11467,0.057336,0.07167,0.043002,0.043002,0.043002,0.057336,0.014334
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,14,-0.1,0.0975,0.01,22,-0.06,0.0975,0.01,100,5.087,-0.007064,-0.001284,0.004495,0.014127,0.021833,0.028576,0.033392,0.040135,0.045914,0.046877
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,14,-0.1,0.0975,0.01,30,-0.02,0.0975,0.01,200,14.833,0.24864,0.20895,0.22218,0.15602,0.12956,0.12956,0.11633,0.12956,0.11633,0.089863
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,14,-0.1,0.0975,0.01,38,0.02,0.0975,0.01,200,18.146,0.24876,0.21631,0.18386,0.17305,0.15142,0.1406,0.11897,0.1406,0.10816,0.097339
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,14,-0.1,0.0975,0.01,46,0.06,0.0975,0.01,200,22.338,0.2138,0.19622,0.17865,0.14351,0.12593,0.12593,0.10836,0.10836,0.10836,0.09079
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,14,-0.1,0.0975,0.01,54,0.1,0.0975,0.01,200,33.271,0.14993,0.12633,0.11454,0.090941,0.090941,0.090941,0.085042,0.067345,0.067345,0.067345
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,22,-0.06,0.0975,0.01,30,-0.02,0.0975,0.01,200,4.7031,0.61491,0.52531,0.45967,0.40758,0.3659,0.32944,0.29923,0.2711,0.25026,0.22838
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,22,-0.06,0.0975,0.01,38,0.02,0.0975,0.01,200,8.049,0.50522,0.43156,0.37982,0.33781,0.30433,0.27754,0.2538,0.23371,0.21423,0.20023
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,22,-0.06,0.0975,0.01,46,0.06,0.0975,0.01,200,12.192,0.3783,0.33001,0.28171,0.21732,0.23342,0.21732,0.18513,0.16903,0.16903,0.12073
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,22,-0.06,0.0975,0.01,54,0.1,0.0975,0.01,200,23.068,0.19887,0.15633,0.13081,0.13081,0.10528,0.088268,0.096776,0.07976,0.062745,0.062745
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,30,-0.02,0.0975,0.01,38,0.02,0.0975,0.01,200,3.344,0.34111,0.29129,0.25612,0.23121,0.20923,0.19165,0.17846,0.16527,0.15501,0.14476
6,-0.14,0.0975,0.01,62,0.14,0.0975,0.01,30,-0.02,0.0975,0.01,46,0.06,0.0975,0.01,200,7.5683,0.23167,0.19218,0.16499,0.14686,0.13326,0.12226,0.11578,0.10931,0.10413,0.10024
